Internal ID of the item,The name that will appear in game,value in copper coins,"1:swing/throw
2:Eat/use
3:Stab
4:Hold Up
5:Guns/Staffs",Total time that the animation of the item will take,Total time that the item will take,,,,Color of item in inventory,tileID of tile created when used,Flavortext,max amount the player can carry in a single inventory slot,hitbox width,hitbox height,"Used to place different styles of the same tile. For example, Tables share a TileID, but have different styles",,,,ProjectileID to shoot when used,Velocity of projectile,weapon sprite does no damage,,Damage Type,Damage Type,Damage Type,,,,,,,,,,,which set of ammo types it uses,set of ammo this item belongs to,,,,,,refers to a glowing texture drawn on item,equal to axe power/5,equal to pickaxe power,,,,,,,,used for Angler quests,used for Angler quests,,,,Damage Type,,,,Damage Type,,,,,,,,,,,,,,,,,,,,,,,
type,name,value,useStyle,useAnimation,useTime,consumable,useTurn,autoReuse,rare,createTile,toolTip,maxStack,width,height,placeStyle,useSound,damage,knockBack,shoot,shootSpeed,noMelee,accessory,melee,magic,ranged,toolTip2,defense,crit,noUseGraphic,scale,createWall,headSlot,bodySlot,legSlot,buffType,useAmmo,ammo,mana,channel,buffTime,tileBoost,noWet,glowMask,axe,pick,makeNPC,mech,wingSlot,hammer,holdStyle,bait,expert,questItem,uniqueStack,paint,handOnSlot,flame,thrown,vanity,alpha,shoeSlot,summon,stringColor,balloonSlot,handOffSlot,mountType,healLife,potion,waistSlot,fishingPole,backSlot,color,neckSlot,faceSlot,healMana,material,tileWand,shieldSlot,notAmmo,frontSlot,cartTrack,reuseDelay,lifeRegen,hairDye,stack
1,Iron Pickaxe,2000,1,20,13,-,TRUE,TRUE,-,-,-,-,24,28,-,1,5,2,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2,Dirt Block,-,1,15,10,TRUE,TRUE,TRUE,-,0,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
3,Stone Block,-,1,15,10,TRUE,TRUE,TRUE,-,1,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
4,Iron Broadsword,1800,1,21,21,-,-,-,-,-,-,-,24,28,-,1,10,5,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
5,Mushroom,1250,2,17,17,TRUE,-,-,-,-,-,99,16,18,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
6,Iron Shortsword,1400,3,12,12,-,TRUE,-,-,-,-,-,24,28,-,1,8,4,-,-,-,-,TRUE,-,-,-,-,-,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
7,Iron Hammer,1600,1,30,20,-,TRUE,TRUE,-,-,-,-,24,28,-,1,7,5.5,-,-,-,-,TRUE,-,-,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
8,Torch,50,1,15,10,TRUE,TRUE,TRUE,-,4,Provides light,99,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,1,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
9,Wood,-,1,15,10,TRUE,TRUE,TRUE,-,30,-,999,8,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
10,Iron Axe,1600,1,27,19,-,TRUE,TRUE,-,-,-,-,24,28,-,1,5,4.5,-,-,-,-,TRUE,-,-,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
11,Iron Ore,500,1,15,10,TRUE,TRUE,TRUE,-,6,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
12,Copper Ore,250,1,15,10,TRUE,TRUE,TRUE,-,7,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
13,Gold Ore,2000,1,15,10,TRUE,TRUE,TRUE,-,8,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
14,Silver Ore,1000,1,15,10,TRUE,TRUE,TRUE,-,9,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
15,Copper Watch,1000,-,-,-,-,-,-,-,-,Tells the time,-,24,28,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
16,Silver Watch,5000,-,-,-,-,-,-,-,-,Tells the time,-,24,28,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
17,Gold Watch,10000,-,-,-,-,-,-,1,-,Tells the time,-,24,28,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
18,Depth Meter,12500,-,-,-,-,-,-,1,-,Displays depth,-,24,18,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
19,Gold Bar,6000,1,15,10,TRUE,TRUE,TRUE,-,239,-,99,20,20,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
20,Copper Bar,750,1,15,10,TRUE,TRUE,TRUE,-,239,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
21,Silver Bar,3000,1,15,10,TRUE,TRUE,TRUE,-,239,-,99,20,20,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
22,Iron Bar,1500,1,15,10,TRUE,TRUE,TRUE,-,239,-,99,20,20,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{R:160 G:145 B:130 A:110},-,-,-,-,-,-,-,-,-,-,-,-,1
23,Gel,5,-,-,-,TRUE,-,-,-,-,'Both tasty and flammable',999,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,-,-,-,-,-,-,-,-,-,-,-,{R:0 G:80 B:255 A:100},-,-,-,-,-,-,-,-,-,-,-,-,1
24,Wooden Sword,100,1,25,-,-,-,-,-,-,-,-,24,28,-,1,7,4,-,-,-,-,TRUE,-,-,-,-,-,-,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
25,Wooden Door,200,1,15,10,TRUE,TRUE,-,-,10,-,99,14,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
26,Stone Wall,-,1,15,7,TRUE,TRUE,TRUE,-,-,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
27,Acorn,10,1,15,10,TRUE,TRUE,-,-,20,-,99,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
28,Lesser Healing Potion,300,2,17,17,TRUE,TRUE,-,-,-,-,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
29,Life Crystal,75000,4,30,30,TRUE,-,-,2,-,Permanently increases maximum life by 20,99,18,18,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
30,Dirt Wall,-,1,15,7,TRUE,TRUE,TRUE,-,-,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
31,Bottle,20,1,15,10,TRUE,TRUE,TRUE,-,13,-,999,16,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
32,Wooden Table,300,1,15,10,TRUE,TRUE,TRUE,-,14,-,99,26,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
33,Furnace,300,1,15,10,TRUE,TRUE,TRUE,-,17,Used for smelting ore,99,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
